StationUID,StationID,StationName/Zh_tw,StationName/En,StationPosition/PositionLon,StationPosition/PositionLat,StationAddress,StationPhone,StationClass,StationURL
TRA-3400,3400,永靖,Yongjing,120.57165,23.92811,51241彰化縣永靖鄉崙子村永崙路 25 號,04-8320544#15,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3400
TRA-3410,3410,社頭,Shetou,120.58082,23.89571,51155彰化縣社頭鄉廣興村社站路 10 號,04-8711646,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3410
TRA-3420,3420,田中,Tianzhong,120.59121,23.85827,52042彰化縣田中鎮中路里中州路一段 1 號,04-8742142,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3420
TRA-3430,3430,二水,Ershui,120.61805,23.81321,53042彰化縣二水鄉光化村光文路 1 號,04-8792027,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3430
TRA-3431,3431,源泉,Yuanquan,120.64208,23.79846,530彰化縣二水鄉合興村英義路 (無站房),04-8792027,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3431
TRA-3432,3432,濁水,Zhuoshui,120.70467,23.83467,55141南投縣名間鄉濁水村車站路 15 號,049-2735850,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3432
TRA-3433,3433,龍泉,Longquan,120.74996,23.83521,552南投縣集集鎮隘寮村龍泉巷 (無站房),04-8792027,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3433
TRA-3434,3434,集集,Jiji,120.78491,23.82653,55241南投縣集集鎮吳厝里民生路 75 號,049-2762546,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3434
TRA-3435,3435,水里,Shuili,120.85333,23.81844,55353南投縣水里鄉水里村民生路 440 號,049-2770015,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3435
TRA-3436,3436,車埕,Checheng,120.86572,23.83263,55345南投縣水里鄉車埕村民權巷 2 號,049-2774749,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3436
TRA-3450,3450,林內,Linnei,120.61499,23.75967,64341雲林縣林內鄉林中村中山路 42 號,05-5892040,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3450
TRA-3460,3460,石榴,Shiliu,120.57998,23.73167,64071雲林縣斗六市榴北里文明路 31 號,05-5332900,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3460
TRA-3470,3470,斗六,Douliu,120.54117,23.71157,64050雲林縣斗六市信義里民生路 187 號,05-5332900,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3470
TRA-3480,3480,斗南,Dounan,120.48082,23.67302,63042雲林縣斗南鎮南昌里中山路 2 號,05-5972039,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3480
